timestamp_us,timestamp_s,event,connection_handle,l2cap_cid,sequence,write_index,read_index,ring_fill,audio_busy,duration_us,result,detail0,detail1,details,anomaly,anomaly_reasons
40945457,40.945457,AUDIO_BUSY_SET,0x0040,0x0041,143,1680,1680,0,1,0,2,0,0,busy_context=2,False,
40945459,40.945459,AUDIO_CAN_SEND_REQUESTED,0x0040,0x0041,143,1680,1680,0,1,0,0,0,0,,False,
40945462,40.945462,AUDIO_CAN_SEND_NOW,0x0040,0x0041,143,1680,1680,0,1,6,0,0,0,,False,
40945741,40.945741,AUDIO_PACKET_SENT,0x0040,0x0041,143,1680,1680,0,1,276,0,21,0,,False,
40945743,40.945743,AUDIO_BUSY_CLEAR,0x0040,0x0041,143,1680,1680,0,0,286,3,0,0,busy_context=3,False,
40945747,40.945747,AUDIO_L2CAP_SEND,0x0040,0x0041,143,1680,1680,0,0,0,0,161,0,sdu_size=161,False,
40964914,40.964914,AUDIO_SDU_GENERATED,0xffff,0x0000,144,1681,1680,1,0,20000,0,0,0,,False,
40965884,40.965884,AUDIO_BUSY_SET,0x0040,0x0041,144,1681,1681,0,1,0,2,0,0,busy_context=2,False,
40965886,40.965886,AUDIO_CAN_SEND_REQUESTED,0x0040,0x0041,144,1681,1681,0,1,0,0,0,0,,False,
40965889,40.965889,AUDIO_CAN_SEND_NOW,0x0040,0x0041,144,1681,1681,0,1,6,0,0,0,,False,
40966168,40.966168,AUDIO_PACKET_SENT,0x0040,0x0041,144,1681,1681,0,1,276,0,21,0,,False,
40966170,40.966170,AUDIO_BUSY_CLEAR,0x0040,0x0041,144,1681,1681,0,0,286,3,0,0,busy_context=3,False,
40966174,40.966174,AUDIO_L2CAP_SEND,0x0040,0x0041,144,1681,1681,0,0,0,0,161,0,sdu_size=161,False,
40984914,40.984914,AUDIO_SDU_GENERATED,0xffff,0x0000,145,1682,1681,1,0,20000,0,0,0,,False,
40985832,40.985832,AUDIO_BUSY_SET,0x0040,0x0041,145,1682,1682,0,1,0,2,0,0,busy_context=2,False,
40985833,40.985833,AUDIO_CAN_SEND_REQUESTED,0x0040,0x0041,145,1682,1682,0,1,0,0,0,0,,False,
40985837,40.985837,AUDIO_CAN_SEND_NOW,0x0040,0x0041,145,1682,1682,0,1,6,0,0,0,,False,
40986115,40.986115,AUDIO_PACKET_SENT,0x0040,0x0041,145,1682,1682,0,1,276,0,22,0,,False,
40986118,40.986118,AUDIO_BUSY_CLEAR,0x0040,0x0041,145,1682,1682,0,0,285,3,0,0,busy_context=3,False,
40986121,40.986121,AUDIO_L2CAP_SEND,0x0040,0x0041,145,1682,1682,0,0,0,0,161,0,sdu_size=161,False,
41004912,41.004912,AUDIO_SDU_GENERATED,0xffff,0x0000,146,1683,1682,1,0,19998,0,0,0,,False,
41007016,41.007016,AUDIO_BUSY_SET,0x0040,0x0041,146,1683,1683,0,1,0,2,0,0,busy_context=2,False,
41007018,41.007018,AUDIO_CAN_SEND_REQUESTED,0x0040,0x0041,146,1683,1683,0,1,0,0,0,0,,False,
41007022,41.007022,AUDIO_CAN_SEND_NOW,0x0040,0x0041,146,1683,1683,0,1,6,0,0,0,,False,
41007300,41.007300,AUDIO_PACKET_SENT,0x0040,0x0041,146,1683,1683,0,1,275,0,22,0,,False,
41007302,41.007302,AUDIO_BUSY_CLEAR,0x0040,0x0041,146,1683,1683,0,0,286,3,0,0,busy_context=3,False,
41007306,41.007306,AUDIO_L2CAP_SEND,0x0040,0x0041,146,1683,1683,0,0,0,0,161,0,sdu_size=161,False,
41024913,41.024913,AUDIO_SDU_GENERATED,0xffff,0x0000,147,1684,1683,1,0,20002,0,0,0,,False,
41025796,41.025796,AUDIO_BUSY_SET,0x0040,0x0041,147,1684,1684,0,1,0,2,0,0,busy_context=2,False,
41025798,41.025798,AUDIO_CAN_SEND_REQUESTED,0x0040,0x0041,147,1684,1684,0,1,0,0,0,0,,False,
41025801,41.025801,AUDIO_CAN_SEND_NOW,0x0040,0x0041,147,1684,1684,0,1,6,0,0,0,,False,
41026080,41.026080,AUDIO_PACKET_SENT,0x0040,0x0041,147,1684,1684,0,1,276,0,21,0,,False,
41026082,41.026082,AUDIO_BUSY_CLEAR,0x0040,0x0041,147,1684,1684,0,0,286,3,0,0,busy_context=3,False,
41026086,41.026086,AUDIO_L2CAP_SEND,0x0040,0x0041,147,1684,1684,0,0,0,0,161,0,sdu_size=161,False,
41044911,41.044911,AUDIO_SDU_GENERATED,0xffff,0x0000,148,1685,1684,1,0,19997,0,0,0,,False,
41047019,41.047019,AUDIO_BUSY_SET,0x0040,0x0041,148,1685,1685,0,1,0,2,0,0,busy_context=2,False,
41047020,41.047020,AUDIO_CAN_SEND_REQUESTED,0x0040,0x0041,148,1685,1685,0,1,0,0,0,0,,False,
41047024,41.047024,AUDIO_CAN_SEND_NOW,0x0040,0x0041,148,1685,1685,0,1,6,0,0,0,,False,
41047302,41.047302,AUDIO_PACKET_SENT,0x0040,0x0041,148,1685,1685,0,1,276,0,22,0,,False,
41047305,41.047305,AUDIO_BUSY_CLEAR,0x0040,0x0041,148,1685,1685,0,0,285,3,0,0,busy_context=3,False,
41047308,41.047308,AUDIO_L2CAP_SEND,0x0040,0x0041,148,1685,1685,0,0,0,0,161,0,sdu_size=161,False,
41064913,41.064913,AUDIO_SDU_GENERATED,0xffff,0x0000,149,1686,1685,1,0,20002,0,0,0,,False,
41065799,41.065799,AUDIO_BUSY_SET,0x0040,0x0041,149,1686,1686,0,1,0,2,0,0,busy_context=2,False,
41065800,41.065800,AUDIO_CAN_SEND_REQUESTED,0x0040,0x0041,149,1686,1686,0,1,0,0,0,0,,False,
41065804,41.065804,AUDIO_CAN_SEND_NOW,0x0040,0x0041,149,1686,1686,0,1,6,0,0,0,,False,
41066082,41.066082,AUDIO_PACKET_SENT,0x0040,0x0041,149,1686,1686,0,1,276,0,22,0,,False,
41066085,41.066085,AUDIO_BUSY_CLEAR,0x0040,0x0041,149,1686,1686,0,0,286,3,0,0,busy_context=3,False,
41066088,41.066088,AUDIO_L2CAP_SEND,0x0040,0x0041,149,1686,1686,0,0,0,0,161,0,sdu_size=161,False,
41084913,41.084913,AUDIO_SDU_GENERATED,0xffff,0x0000,150,1687,1686,1,0,20001,0,0,0,,False,
41087022,41.087022,AUDIO_BUSY_SET,0x0040,0x0041,150,1687,1687,0,1,0,2,0,0,busy_context=2,False,
